no;FileTrail Line_ID;Exploration Archives Line Name;Open Works LINE;SURVEY - for 3D lines
191;RIMELLA_3D;LDU-LD-389A;MO-01-018;
192;RIMELLA_3D;LDU-LD-389C;MO-01-100;
193;RIMELLA_3D;LDU-LD-389B;MO-01-101;
194;RIMELLA_3D;LDU-LD-390;MO-01-102;
195;RIMELLA_3D;LDU-LD-391;MO-01-103;
196;RIMELLA_3D;LDU-LD-392;MO-01-104;
197;RIMELLA_3D;LDU-LD-393;E-E99MA01-05;
198;RIMELLA_3D;LDU-LD-394;84-GR-17;
199;RIMELLA_3D;LDU-LD-395;84-KB-02;
200;RIMELLA_3D;LDU-LD-396;MO-01-203;
201;RIMELLA_3D;LDU-LD-397;LD-384_1;
202;RIMELLA_3D;LDU-LD-364A;SP-83-34B;
203;SMO91-08;98AN008_01;ENT-E98MA03-19;
204;SMO91-08;98AN108_02;MO-01-014;
205;SMO91-08;98AN001_03;MO-01-275;
206;SMO91-08;98AN003_04;PC-9231-86;
207;SMO91-09;98AN107_06;E-KA-45;
208;SMO91-09;98AN307_08;84-KB-03;
209;SMO91-09;98AN109_10;84-KB-04;
210;SP-83-25;98AN030_11;85-AK-06;
211;SP-83-26;98AN130_12;85-AK-06;
212;SP-83-26;98AN019_14;SM91-33;
213;SP-83-26;98AN015_16;SM91-35;
214;SP-83-26;98AN023_13;MO-01-204;
215;SP-83-34;98AN219_17;85-AK-07;
216;SP-83-34;98AN002_18;85-AK-07;
217;RIMELLA_3D;98AN004_19;85-AK-08;
218;RIMELLA_3D;98AN104_20;85-AK-08;
219;RIMELLA_3D;98AN102_21;SM91-27;
220;RIMELLA_3D;98AN202_22;85-AK-11;
221;RIMELLA_3D;98AN106_24;85-AK-12;
222;RIMELLA_3D;98AN006_23;85-AK-12;
223;RIMELLA_3D;EM-204;MO-01-207;
224;RIMELLA_3D;EM307;MO-01-208;
225;RIMELLA_3D;EM308;LD-387;
